"","Target","Dataset","Sample_ID","Hive","Date","Bee_type","Scab","gut_mg","Extractor","Cq","SD","actin_Cq","actin_CopyNum","CopyNum","CellNum","Present","CopyNum_norm","CellNum_norm"
"99","Ba","mm","382","DdM","160715","F","1","NA","P",24.6638666666667,"7.2305486191113003E-2",21.4204666666667,6172863.14985865,1197216.91615751,598608.458078755,1,1874552,937276
"100","Ba","mm","20","DdM","150411","F","0","NA","PLO",25.7834333333333,"1.3957196471116E-2",21.0161333333333,7995137.70453456,535681.305156426,267840.652578213,1,647578,323789
"101","Ba","mm","156","DdM","151014","F","1","NA","L",20.1444666666667,"7.2167190144367593E-2",20.7027666666667,9769924.79078699,30765958.5130262,15382979.2565131,1,30436207,15218104
"102","Ba","mm","338","DdM","160517","F","1","NA","P",23.5466333333333,"5.5082332315664097E-2",19.7921333333333,17494440.9114395,2671229.97345128,1335614.98672564,1,1475783,737892
"103","Ba","mm","261","DdM","160217","W","0","NA","M",14.9281,"1.7960512242137901E-2",21.2002639770508,7106690.41850874,1304360750.44621,652180375.223104,1,1773951023,886975512
"104","Ba","mm","564","DdM","170316","F","0","NA","M",25.33715,"7.3185551852807895E-2",20.07685,14581253.6141352,738127.804251214,369063.902125607,1,489269,244635
"105","Ba","mm","111","DdM","150817","F","0","NA","PLO",19.3294333333333,"3.2724659407445997E-2",20.6755333333333,9941632.02796104,55250073.7573876,27625036.8786938,1,53713874,26856937
"106","Ba","mm","246","DdM","160217","W","0","NA","M",12.8347333333333,"7.5689453250325806E-2",21.3103968302409,6623206.08805443,5867542399.26289,2933771199.63144,1,8562474048,4281237024
"107","Ba","mm","383","DdM","160715","F","1","NA","P",20.9535666666667,"0.117331680859575",21.8266,4760441.5880679,17205172.6200599,8602586.31002993,1,34931971,17465986
"108","Ba","mm","200","DdM","151215","F","0","NA","M",26.2070666666667,"0.119348243947421",21.4862,5918660.22777589,395136.762800667,197568.381400334,1,645261,322630
"109","Ba","mm","157","DdM","151014","F","1","NA","L",23.65965,"4.9285342648703101E-2",20.6775333333333,9928919.91554725,2462940.72653124,1231470.36326562,1,2397526,1198763
"110","Ba","mm","295","DdM","160419","F","0","NA","P",23.99535,"7.2478445071623002E-2",22.8106,2536613.62543474,1935205.49258298,967602.74629149,1,7373676,3686838
"111","Ba","mm","565","DdM","170316","F","1","NA","M",30.72465,"1.35057395206642E-2",20.4112333333333,11773087.0681524,15396.3072622563,7698.15363112814,1,12640,6320
"112","Ba","mm","247","DdM","160217","W","0","NA","M",18.98635,"0.124097240098241",20.9228731791178,8486667.63235106,70690829.9861039,35345414.993052,1,80507657,40253828
"113","Ba","mm","112","DdM","150817","F","0","NA","PLO",20.8491,"1.6213266173107199E-2",20.9704666666667,8232161.81976414,18545948.3915633,9272974.19578165,1,21774413,10887206
"114","Ba","mm","519","DdM","170117","W","1","NA","M",14.32105,"0.13795653300949501",19.7615,17840670.9026954,2017327812.47061,1008663906.23531,1,1092890358,546445179
"115","Ba","mm","384","DdM","160715","F","1","NA","P",20.2152333333333,"0.11905487530266499",20.5824,10551973.5649168,29241098.2607733,14620549.1303866,1,26783744,13391872
"116","Ba","mm","34","DdM","150513","F","1","NA","PLO",23.6488666666667,"3.12308074396625E-2",20.7074666666667,9740592.62200945,2482092.65766402,1241046.32883201,1,2462884,1231442
"117","Ba","mm","158","DdM","151014","F","1","NA","L",20.02515,"3.9951533137039801E-2",19.8214333333333,17169569.4456536,33519162.0249106,16759581.0124553,1,18868833,9434417
"118","Ba","mm","566","DdM","170316","F","1","NA","M",26.6524,"0.17748380207782199",21.10975,7530358.4539911,286958.259880366,143479.129940183,1,368311,184155
"119","Ba","mm","248","DdM","160217","W","0","NA","M",15.64615,"0.15535135982668399",20.8512554168701,8884548.32021796,778736945.828989,389368472.914494,1,847162506,423581253
"120","Ba","mm","72","DdM","150609","F","1","NA","PLO",22.6929333333333,"0.106888368559603",20.5947596232096,10468867.8438781,4932150.9912999,2466075.49564995,1,4553527,2276764
